name,avg_us,std_us,runs,#,N,C,H,W,h_var,w_var,seed,cuda,numel,cpu
dropout_tensor_pad,118133,879,127,205/270,8,256,80,80,20.0,20.0,24,False,16300544,1
dropout_nt,46126,2014,326,206/270,8,256,80,80,20.0,20.0,24,False,16300544,1
interpolate_tensor_iter,85305,1489,176,207/270,8,256,80,80,20.0,20.0,24,False,16300544,1
interpolate_tensor_pad,165522,1492,91,208/270,8,256,80,80,20.0,20.0,24,False,16300544,1
interpolate_nt,49885,1686,301,209/270,8,256,80,80,20.0,20.0,24,False,16300544,1
relu__tensor_pad,10628,86,1412,210/270,8,256,80,80,10.0,10.0,24,False,14427136,1
relu__tensor_iter,7053,96,2127,211/270,8,256,80,80,10.0,10.0,24,False,14427136,1
relu__nt,7083,80,2118,212/270,8,256,80,80,10.0,10.0,24,False,14427136,1
relu_tensor_iter,11525,655,1302,213/270,8,256,80,80,10.0,10.0,24,False,14427136,1
relu_tensor_pad,17676,957,849,214/270,8,256,80,80,10.0,10.0,24,False,14427136,1
relu_nt,11939,145,1257,215/270,8,256,80,80,10.0,10.0,24,False,14427136,1
conv2d_iter_1x1,119503,2234,126,216/270,8,256,80,80,10.0,10.0,24,False,14427136,1
conv2d_pad_1x1,177443,5366,85,217/270,8,256,80,80,10.0,10.0,24,False,14427136,1
conv2d_nt_1x1,120001,2933,125,218/270,8,256,80,80,10.0,10.0,24,False,14427136,1
conv2d_iter_3x3,967794,24473,16,219/270,8,256,80,80,10.0,10.0,24,False,14427136,1
conv2d_pad_3x3,1442134,11882,11,220/270,8,256,80,80,10.0,10.0,24,False,14427136,1
conv2d_nt_3x3,966339,16807,16,221/270,8,256,80,80,10.0,10.0,24,False,14427136,1
conv2d_iter_7x7,4293888,99716,4,222/270,8,256,80,80,10.0,10.0,24,False,14427136,1
conv2d_pad_7x7,6593221,59299,3,223/270,8,256,80,80,10.0,10.0,24,False,14427136,1
conv2d_nt_7x7,4227301,16688,4,224/270,8,256,80,80,10.0,10.0,24,False,14427136,1
batch_norm_tensor_iter,11899,679,1261,225/270,8,256,80,80,10.0,10.0,24,False,14427136,1
batch_norm_tensor_pad,17951,1009,836,226/270,8,256,80,80,10.0,10.0,24,False,14427136,1
batch_norm_nt,12160,95,1234,227/270,8,256,80,80,10.0,10.0,24,False,14427136,1
max_pool2d_tensor_iter,78179,1264,192,228/270,8,256,80,80,10.0,10.0,24,False,14427136,1
max_pool2d_tensor_pad,102988,404,146,229/270,8,256,80,80,10.0,10.0,24,False,14427136,1
max_pool2d_nt,83353,1847,181,230/270,8,256,80,80,10.0,10.0,24,False,14427136,1
cross_entropy_tensor_iter,241561,6046,63,231/270,8,256,80,80,10.0,10.0,24,False,14427136,1
cross_entropy_tensor_pad,296675,8791,51,232/270,8,256,80,80,10.0,10.0,24,False,14427136,1
cross_entropy_nt,241318,7087,63,233/270,8,256,80,80,10.0,10.0,24,False,14427136,1
dropout_tensor_iter,41113,3267,365,234/270,8,256,80,80,10.0,10.0,24,False,14427136,1
dropout_tensor_pad,79294,3039,190,235/270,8,256,80,80,10.0,10.0,24,False,14427136,1
dropout_nt,39964,1380,376,236/270,8,256,80,80,10.0,10.0,24,False,14427136,1
interpolate_tensor_iter,76289,877,197,237/270,8,256,80,80,10.0,10.0,24,False,14427136,1
interpolate_tensor_pad,123312,458,122,238/270,8,256,80,80,10.0,10.0,24,False,14427136,1
interpolate_nt,44079,1990,341,239/270,8,256,80,80,10.0,10.0,24,False,14427136,1
relu__tensor_pad,6308,56,2378,240/270,8,256,80,80,0.0,0.0,24,False,13107200,1
relu__tensor_iter,6332,81,2369,241/270,8,256,80,80,0.0,0.0,24,False,13107200,1
relu__nt,6421,52,2336,242/270,8,256,80,80,0.0,0.0,24,False,13107200,1
relu_tensor_iter,7653,190,1960,243/270,8,256,80,80,0.0,0.0,24,False,13107200,1
relu_tensor_pad,10747,656,1396,244/270,8,256,80,80,0.0,0.0,24,False,13107200,1
relu_nt,10874,479,1380,245/270,8,256,80,80,0.0,0.0,24,False,13107200,1
conv2d_iter_1x1,102652,3429,147,246/270,8,256,80,80,0.0,0.0,24,False,13107200,1
conv2d_pad_1x1,105591,1967,143,247/270,8,256,80,80,0.0,0.0,24,False,13107200,1
conv2d_nt_1x1,102194,2228,147,248/270,8,256,80,80,0.0,0.0,24,False,13107200,1
conv2d_iter_3x3,849129,8030,18,249/270,8,256,80,80,0.0,0.0,24,False,13107200,1
conv2d_pad_3x3,860625,23845,18,250/270,8,256,80,80,0.0,0.0,24,False,13107200,1
conv2d_nt_3x3,852553,9065,18,251/270,8,256,80,80,0.0,0.0,24,False,13107200,1
conv2d_iter_7x7,3715460,28062,5,252/270,8,256,80,80,0.0,0.0,24,False,13107200,1
conv2d_pad_7x7,3689825,5033,5,253/270,8,256,80,80,0.0,0.0,24,False,13107200,1
conv2d_nt_7x7,3726314,53941,5,254/270,8,256,80,80,0.0,0.0,24,False,13107200,1
batch_norm_tensor_iter,7954,82,1886,255/270,8,256,80,80,0.0,0.0,24,False,13107200,1
batch_norm_tensor_pad,10913,485,1375,256/270,8,256,80,80,0.0,0.0,24,False,13107200,1
batch_norm_nt,10527,198,1425,257/270,8,256,80,80,0.0,0.0,24,False,13107200,1
max_pool2d_tensor_iter,71847,1472,209,258/270,8,256,80,80,0.0,0.0,24,False,13107200,1
max_pool2d_tensor_pad,75862,1033,198,259/270,8,256,80,80,0.0,0.0,24,False,13107200,1
max_pool2d_nt,82329,4050,183,260/270,8,256,80,80,0.0,0.0,24,False,13107200,1
cross_entropy_tensor_iter,250295,10051,60,261/270,8,256,80,80,0.0,0.0,24,False,13107200,1
cross_entropy_tensor_pad,211418,10741,71,262/270,8,256,80,80,0.0,0.0,24,False,13107200,1
cross_entropy_nt,204566,4922,74,263/270,8,256,80,80,0.0,0.0,24,False,13107200,1
dropout_tensor_iter,31939,520,470,264/270,8,256,80,80,0.0,0.0,24,False,13107200,1
dropout_tensor_pad,47880,349,314,265/270,8,256,80,80,0.0,0.0,24,False,13107200,1
dropout_nt,32162,555,467,266/270,8,256,80,80,0.0,0.0,24,False,13107200,1
interpolate_tensor_iter,14730,249,1019,267/270,8,256,80,80,0.0,0.0,24,False,13107200,1
interpolate_tensor_pad,39648,595,379,268/270,8,256,80,80,0.0,0.0,24,False,13107200,1
interpolate_nt,39984,2013,376,269/270,8,256,80,80,0.0,0.0,24,False,13107200,1
